Iteration,Generation,chromosome,weights,score
0,0,0,"[-31.88395745 -16.20886707  43.64671129 -34.12190196 -32.57707856
   2.74382421  28.41085858  28.00055269]",11964
0,3,0,"[-31.88395745 -16.20886707  43.64671129 -34.12190196  23.61184927
  41.19293833 -34.70749797  33.75808344]",14714
0,16,2,"[-31.88395745 -16.20886707  43.64671129 -34.12190196 -32.57707856
   2.74382421  28.41085858  28.00055269]",18775
1,1,2,"[-13.76623498  -8.31548218  45.45997697 -44.74880002   8.8122277
  27.33049749 -39.44561269  49.59184887]",22422
2,3,0,"[-31.88395745 -16.20886707   7.65623383 -34.12190196 -32.57707856
  34.73571674 -28.62565297  39.33287464]",51906
4,18,9,"[-13.76623498 -11.84609247  45.45997697 -44.74880002   8.8122277
  27.33049749  28.41085858  28.00055269]",75017
7,3,0,"[-13.76623498 -11.84609247  45.45997697 -44.74880002   8.8122277
  41.19293833 -34.70749797  33.75808344]",90519
26,9,1,"[-13.76623498 -11.84609247  45.45997697 -44.74880002   8.8122277
  41.19293833 -34.70749797  33.75808344]",105014
37,17,2,"[-13.76623498 -11.84609247  45.45997697 -44.74880002   8.8122277
  27.33049749  45.13555914  35.27317339]",109226
62,6,2,"[-13.76623498 -11.84609247  45.45997697 -44.74880002   8.8122277
  41.19293833 -34.70749797  33.75808344]",198859
Iteration,Generation,chromosome,weights,score
0,0,0,"[-11.80883357  -5.14130097 -47.53937636   7.86808384  27.98705236
  27.37436346 -34.1879872  -13.78696784]",1410
0,1,0,"[-11.80883357  -5.14130097 -40.42579564 -22.43410713 -46.52009801
   9.57310821  -3.22112086   4.50258239]",4356
0,1,2,"[-11.23698131 -36.04979593 -35.13448036 -14.61592062 -46.52009801
   9.57310821  -3.22112086   4.50258239]",6078
0,1,6,"[-11.80883357  -5.14130097 -40.42579564 -22.43410713 -46.52009801
   9.57310821  -3.22112086   4.50258239]",9162
0,2,0,"[-11.80883357  -5.14130097 -40.42579564 -22.43410713  18.40031959
   5.56351962  -9.38780694   5.76273492]",9612
0,2,9,"[-11.80883357  -5.14130097 -40.42579564 -22.43410713  18.40031959
   5.56351962  -9.38780694   5.76273492]",12513
0,6,0,"[-11.80883357  -5.14130097 -40.42579564 -22.43410713  18.40031959
   5.56351962  -9.38780694   5.76273492]",14509
0,6,6,"[-11.80883357  -5.14130097 -40.42579564 -22.43410713  18.40031959
   5.56351962  -9.38780694   5.76273492]",15125
0,7,6,"[-11.80883357  -5.14130097 -40.42579564 -22.43410713  18.40031959
   5.56351962  -9.38780694   5.76273492]",15867
0,8,1,"[-11.80883357  -5.14130097 -40.42579564 -22.43410713  18.40031959
   5.56351962  -9.38780694   5.76273492]",19727
